Label,URI,Comment
mass fraction of carbon monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_carbon_monoxide_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of carbon monoxide is CO."
mass fraction of carbon tetrachloride in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_carbon_tetrachloride_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of carbon tetrachloride is CCl4."
mass fraction of cfc113 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc113_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC113 is CCl2FCClF2. The IUPAC name for CFC113 is 1,1,2-trichloro-1,2,2-trifluoro-ethane."
mass fraction of cfc113a in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc113a_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC113a CCl3CF3.  The IUPAC name for CFC113a is 1,1,1-trichloro-2,2,2-trifluoro-ethane."
mass fraction of cfc114 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc114_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC114 is CClF2CClF2. The IUPAC name for CFC114 is 1,2-dichloro-1,1,2,2-tetrafluoro-ethane."
mass fraction of cfc115 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc115_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC115 is CClF2CF3. The IUPAC name for CFC115 is 1-chloro-1,1,2,2,2-pentafluoro-ethane."
mass fraction of cfc11 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc11_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula of CFC11 is CFCl3. The IUPAC name fof CFC11 is trichloro-fluoro-methane."
mass fraction of cfc12 in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cfc12_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for CFC12 is CF2Cl2.  The IUPAC name for CFC12 is dichloro-difluoro-methane."
mass fraction of chlorine dioxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_chlorine_dioxide_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine dioxide is OClO."
mass fraction of chlorine monoxide in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_chlorine_monoxide_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine monoxide is ClO."
mass fraction of chlorine nitrate in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_chlorine_nitrate_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. The chemical formula for chlorine nitrate is ClONO2."
mass fraction of cloud condensed water in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cloud_condensed_water_in_air,"condensed_water means liquid and ice. Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of cloud ice in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cloud_ice_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of cloud liquid water in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_cloud_liquid_water_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of clox expressed as chlorine in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_clox_expressed_as_chlorine_in_air," Mass fraction is used in the construction mass_fraction_of_X_in_Y, whereX is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X).  A chemical species denoted by X may be described by a single term such as 'nitrogen' or a phrase such as 'nox_expressed_as_nitrogen'. Clox describes a familyof chemical species consisting of inorganic chlorine compounds with the exception of  hydrogen chloride (HCl) and chlorine nitrate (ClONO2). Clox is the term used in standard names for all species belonging to the family that are represented within a given model. The list of individual species that are included in a quantity with a group chemical standard name can vary between models.  Where possible, the data variable should be accompanied by a complete description of the species represented, for example, by using a comment attribute. Inorganic chlorine, sometimes referred to as Cly, describes a family of chemical species which result from the degradation of source gases containing chlorine (CFCs, HCFCs, VSLS) and natural inorganic chlorine sources such as seasalt and other aerosols.   Standard names that use the term inorganic_chlorine are used for quantitiesthat contain all inorganic chlorine species including HCl and ClONO2. The phrase 'expressed_as' is used in the construction A_expressed_as_B, where B is a chemical constituent of A.It means that the quantity indicated by the standard name is calculated solely with respect to the B contained in A, neglecting all other chemical constituents of A."
mass fraction of convective cloud condensed water in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_convective_cloud_condensed_water_in_air,"condensed_water means liquid and ice. Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X)."
mass fraction of convective cloud ice in air,http://purl.oclc.org/NET/ssnx/cf/cf-property#mass_fraction_of_convective_cloud_ice_in_air,"Mass fraction is used in the construction mass_fraction_of_X_in_Y, where X is a material constituent of Y. It means the ratio of the mass of X to the mass of Y (including X). Convective cloud is that produced by the convection schemes in an atmosphere model."
